CCTV-IPV4,#genre#
CCTV1,http://1.70.32.177:8082/udp/239.1.1.7:8007
CCTV1,http://dev.grayidea.com:4022/udp/239.3.1.129:8008
CCTV1,http://123.180.177.20:16000/udp/239.253.92.83:8012
CCTV1,http://115.171.216.56:4000/udp/225.1.8.1:8008
CCTV2,http://1.70.32.177:8082/udp/239.1.1.8:8008
CCTV2,http://36.35.16.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://wouu.net:9977/udp/239.93.1.23:6000
CCTV3,http://36.35.16.98:9901/tsfile/live/0001_40.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://www.dsmcloud.top:8888/udp/239.81.1.5:4056
CCTV5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV5,http://27.11.52.62:8004/udp/225.0.4.143:7980
CCTV5,http://60.27.135.201:8082/udp/225.1.1.160:5002
CCTV5,http://221.213.69.82:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://60.12.183.46:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://125.89.163.44:8888/udp/239.77.0.87:5146
CCTV5+,http://60.27.135.201:8082/udp/225.1.1.121:5002
CCTV5+,http://120.234.49.38:7000/udp/239.20.0.203:2204
CCTV6,http://115.171.216.56:4000/udp/225.1.8.84:8000
CCTV6,http://27.10.76.34:8001/udp/225.0.4.144:7980
CCTV6,http://omnix.cn:4000/udp/225.1.8.84:8000
CCTV6,http://119.129.238.239:10000/udp/239.77.0.171:5146
CCTV7,http://116.128.224.11:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://36.35.16.98:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://221.213.69.82:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://60.7.56.50:4000/udp/239.253.92.195:6060
CCTV8,http://36.35.16.98:9901/tsfile/live/0001_41.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://27.10.76.34:8008/udp/225.0.4.137:7980
CCTV8,http://ik6.iptv8.net:8888/udp/225.1.4.161:1197
CCTV9,http://s.cdhongyuan.cn:4022/udp/239.93.1.24:5140
CCTV9,http://36.35.16.98:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://60.27.135.201:8082/udp/225.1.1.119:5002
CCTV9,http://125.89.163.44:8888/udp/239.77.0.135:5146
CCTV9,http://origin.lean.org.cn:4000/udp/239.45.3.4:5140
CCTV10,http://1.70.32.177:8082/udp/239.1.1.17:8017
CCTV10,http://125.89.163.44:8888/udp/239.77.0.134:5146
CCTV10,http://60.12.183.46:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
